inspection_score,inspection_type,violation_id,violation_description,risk_category
74,Routine - Unscheduled,34144_20171113_103156,Permit license or inspection report not posted,Low Risk
64,Routine - Unscheduled,69282_20180417_103142,Unclean nonfood contact surfaces,Low Risk
90,Routine - Unscheduled,80643_20180416_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,87942_20180124_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86,Routine - Unscheduled,87778_20171113_103139,Improper food storage,Low Risk
88,Routine - Unscheduled,951_20160426_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,81104_20160116_103131,Moderate risk vermin infestation,Moderate Risk
77,Routine - Unscheduled,86306_20160516_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
80,Routine - Unscheduled,70281_20160120_103133,Foods not protected from contamination,Moderate Risk
86,Routine - Unscheduled,7645_20181023_103142,Unclean nonfood contact surfaces,Low Risk
84,Routine - Unscheduled,70132_20180117_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
80,Routine - Unscheduled,70281_20160120_103120,Moderate risk food holding temperature,Moderate Risk
80,Routine - Unscheduled,1631_20180418_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
88,Routine - Unscheduled,2755_20180816_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85,Routine - Unscheduled,4607_20171108_103132,Improper thawing methods,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
68,Routine - Unscheduled,82339_20170613_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,854_20180816_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
77,Routine - Unscheduled,79117_20180817_103157,Food safety certificate or food handler card not available,Low Risk
94,Routine - Unscheduled,38073_20180118_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,92449_20180122_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,87932_20161202_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
77,Routine - Unscheduled,89497_20180622_103139,Improper food storage,Low Risk
71,Routine - Unscheduled,17947_20181024_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
92,Routine - Unscheduled,253_20171114_103154,Unclean or degraded floors walls or ceilings,Low Risk
80,Routine - Unscheduled,70281_20160120_103157,Food safety certificate or food handler card not available,Low Risk
88,Routine - Unscheduled,4859_20180416_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,1768_20180117_103130,Inadequate sewage or wastewater disposal,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
88,Routine - Unscheduled,4986_20170522_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
96,Routine - Unscheduled,79366_20171113_103139,Improper food storage,Low Risk
76,Routine - Unscheduled,59826_20171115_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
85,Routine - Unscheduled,86870_20180416_103109,Unclean or unsanitary food contact surfaces,High Risk
88,Routine - Unscheduled,86231_20181024_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
75,Routine - Unscheduled,4678_20171020_103139,Improper food storage,Low Risk
91,Routine - Unscheduled,3222_20181022_103144,Unapproved or unmaintained equipment or utensils,Low Risk
82,Routine - Unscheduled,62765_20160120_103148,No thermometers or uncalibrated thermometers,Low Risk
82,Routine - Unscheduled,78196_20160120_103144,Unapproved or unmaintained equipment or utensils,Low Risk
98,Routine - Unscheduled,7600_20180119_103145,Improper storage of equipment utensils or linens,Low Risk
83,Routine - Unscheduled,4678_20161107_103156,Permit license or inspection report not posted,Low Risk
82,Routine - Unscheduled,80479_20171115_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
71,Routine - Unscheduled,39481_20181019_103172,Mobile food facility with unapproved operating conditions,High Risk
80,Routine - Unscheduled,70281_20160120_103131,Moderate risk vermin infestation,Moderate Risk
71,Routine - Unscheduled,17947_20181024_103108,Contaminated or adulterated food,High Risk
92,Routine - Unscheduled,90878_20171109_103157,Food safety certificate or food handler card not available,Low Risk
94,Routine - Unscheduled,32733_20180214_103150,Improper or defective plumbing,Low Risk
96,Routine - Unscheduled,90566_20171115_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
75,Routine - Unscheduled,4678_20171020_103147,Inadequate ventilation or lighting,Low Risk
84,Routine - Unscheduled,6734_20171108_103131,Moderate risk vermin infestation,Moderate Risk
84,Routine - Unscheduled,1005_20180122_103120,Moderate risk food holding temperature,Moderate Risk
82,Routine - Unscheduled,80479_20171115_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,70434_20180111_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,3699_20180816_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,69664_20180413_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
82,Routine - Unscheduled,62765_20160120_103144,Unapproved or unmaintained equipment or utensils,Low Risk
86,Routine - Unscheduled,69759_20180820_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
82,Routine - Unscheduled,62765_20160120_103120,Moderate risk food holding temperature,Moderate Risk
88,Routine - Unscheduled,2883_20180417_103156,Permit license or inspection report not posted,Low Risk
88,Routine - Unscheduled,66961_20180416_103133,Foods not protected from contamination,Moderate Risk
86,Routine - Unscheduled,835_20171114_103142,Unclean nonfood contact surfaces,Low Risk
84,Routine - Unscheduled,89393_20180411_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
79,Routine - Unscheduled,3165_20170323_103131,Moderate risk vermin infestation,Moderate Risk
81,Routine - Unscheduled,552_20170815_103161,Low risk vermin infestation,Low Risk
85,Routine - Unscheduled,94710_20180621_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,79433_20171106_103161,Low risk vermin infestation,Low Risk
84,Routine - Unscheduled,14303_20180621_103131,Moderate risk vermin infestation,Moderate Risk
86,Routine - Unscheduled,69759_20180820_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
82,Routine - Unscheduled,62765_20160120_103157,Food safety certificate or food handler card not available,Low Risk
86,Routine - Unscheduled,87281_20180815_103139,Improper food storage,Low Risk
94,Routine - Unscheduled,81104_20160116_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,36673_20181024_103161,Low risk vermin infestation,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
87,Routine - Unscheduled,10540_20180615_103103,High risk food holding temperature,High Risk
89,Routine - Unscheduled,65791_20180627_103120,Moderate risk food holding temperature,Moderate Risk
96,Routine - Unscheduled,1664_20171108_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
82,Routine - Unscheduled,78196_20160120_103161,Low risk vermin infestation,Low Risk
86,Routine - Unscheduled,84547_20180413_103133,Foods not protected from contamination,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
88,Routine - Unscheduled,79432_20180413_103120,Moderate risk food holding temperature,Moderate Risk
75,Routine - Unscheduled,76950_20180618_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,39398_20180416_103144,Unapproved or unmaintained equipment or utensils,Low Risk
89,Routine - Unscheduled,60042_20181022_103144,Unapproved or unmaintained equipment or utensils,Low Risk
79,Routine - Unscheduled,77642_20180419_103133,Foods not protected from contamination,Moderate Risk
96,Routine - Unscheduled,39513_20180817_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,2109_20180815_103132,Improper thawing methods,Moderate Risk
80,Routine - Unscheduled,70281_20160120_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
89,Routine - Unscheduled,3566_20180125_103105,Improper cooling methods,High Risk
74,Routine - Unscheduled,80233_20180418_103150,Improper or defective plumbing,Low Risk
79,Routine - Unscheduled,34839_20170109_103132,Improper thawing methods,Moderate Risk
90,Routine - Unscheduled,85327_20180411_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
86,Routine - Unscheduled,65529_20180417_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94,Routine - Unscheduled,69680_20171114_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,78143_20171114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
96,Routine - Unscheduled,90925_20180627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
79,Routine - Unscheduled,854_20180418_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,79565_20171108_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,82196_20171114_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,59574_20181023_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,951_20160426_103144,Unapproved or unmaintained equipment or utensils,Low Risk
75,Routine - Unscheduled,76950_20180618_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,90581_20180416_103145,Improper storage of equipment utensils or linens,Low Risk
63,Routine - Unscheduled,71012_20171108_103154,Unclean or degraded floors walls or ceilings,Low Risk
74,Routine - Unscheduled,85824_20151208_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,9164_20180124_103161,Low risk vermin infestation,Low Risk
90,Routine - Unscheduled,3082_20180124_103120,Moderate risk food holding temperature,Moderate Risk
84,Routine - Unscheduled,3875_20180124_103138,Improper storage use or identification of toxic substances,Low Risk
71,Routine - Unscheduled,36744_20160121_103154,Unclean or degraded floors walls or ceilings,Low Risk
83,Routine - Unscheduled,20327_20171107_103131,Moderate risk vermin infestation,Moderate Risk
83,Routine - Unscheduled,59153_20180627_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
64,Routine - Unscheduled,69486_20171107_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
88,Routine - Unscheduled,38379_20180625_103144,Unapproved or unmaintained equipment or utensils,Low Risk
85,Routine - Unscheduled,4959_20171114_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
86,Routine - Unscheduled,84547_20180413_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
76,Routine - Unscheduled,81886_20180418_103145,Improper storage of equipment utensils or linens,Low Risk
74,Routine - Unscheduled,3522_20171109_103113,Sewage or wastewater contamination,High Risk
91,Routine - Unscheduled,88954_20180820_103109,Unclean or unsanitary food contact surfaces,High Risk
92,Routine - Unscheduled,1509_20180417_103129,Insufficient hot water or running water,Moderate Risk
80,Routine - Unscheduled,5150_20160708_103147,Inadequate ventilation or lighting,Low Risk
83,Routine - Unscheduled,20327_20171107_103142,Unclean nonfood contact surfaces,Low Risk
73,Routine - Unscheduled,703_20180417_103133,Foods not protected from contamination,Moderate Risk
79,Routine - Unscheduled,77031_20180123_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,82635_20171204_103154,Unclean or degraded floors walls or ceilings,Low Risk
81,Routine - Unscheduled,2972_20180123_103103,High risk food holding temperature,High Risk
81,Routine - Unscheduled,552_20170815_103154,Unclean or degraded floors walls or ceilings,Low Risk
87,Routine - Unscheduled,3839_20180416_103107,Improper reheating of food,High Risk
92,Routine - Unscheduled,79599_20171114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,85796_20151202_103139,Improper food storage,Low Risk
81,Routine - Unscheduled,3309_20180815_103156,Permit license or inspection report not posted,Low Risk
91,Routine - Unscheduled,5859_20181022_103105,Improper cooling methods,High Risk
92,Routine - Unscheduled,89599_20161215_103147,Inadequate ventilation or lighting,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,75406_20180409_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
77,Routine - Unscheduled,79117_20180817_103154,Unclean or degraded floors walls or ceilings,Low Risk
77,Routine - Unscheduled,80493_20180807_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,75406_20180409_103131,Moderate risk vermin infestation,Moderate Risk
86,Routine - Unscheduled,77901_20180416_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
74,Routine - Unscheduled,85824_20151208_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,69664_20180413_103162,Other low risk violation,Low Risk
79,Routine - Unscheduled,1304_20180131_103150,Improper or defective plumbing,Low Risk
80,Routine - Unscheduled,2418_20171113_103142,Unclean nonfood contact surfaces,Low Risk
80,Routine - Unscheduled,62462_20170130_103133,Foods not protected from contamination,Moderate Risk
71,Routine - Unscheduled,85295_20170601_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,7645_20181023_103139,Improper food storage,Low Risk
74,Routine - Unscheduled,80416_20180619_103154,Unclean or degraded floors walls or ceilings,Low Risk
81,Routine - Unscheduled,70838_20180111_103133,Foods not protected from contamination,Moderate Risk
81,Routine - Unscheduled,3309_20180815_103132,Improper thawing methods,Moderate Risk
74,Routine - Unscheduled,85824_20151208_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,253_20171114_103161,Low risk vermin infestation,Low Risk
77,Routine - Unscheduled,79117_20180817_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,85164_20180308_103144,Unapproved or unmaintained equipment or utensils,Low Risk
86,Routine - Unscheduled,87281_20180815_103138,Improper storage use or identification of toxic substances,Low Risk
86,Routine - Unscheduled,69759_20180820_103139,Improper food storage,Low Risk
88,Routine - Unscheduled,89315_20180126_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,79069_20170821_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,79069_20170821_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,68045_20181025_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
88,Routine - Unscheduled,2798_20180716_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,79427_20180419_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
96,Routine - Unscheduled,61598_20170224_103120,Moderate risk food holding temperature,Moderate Risk
84,Routine - Unscheduled,35660_20180131_103154,Unclean or degraded floors walls or ceilings,Low Risk
80,Routine - Unscheduled,1631_20180418_103142,Unclean nonfood contact surfaces,Low Risk
86,Routine - Unscheduled,94103_20181024_103142,Unclean nonfood contact surfaces,Low Risk
98,Routine - Unscheduled,35340_20181022_103139,Improper food storage,Low Risk
87,Routine - Unscheduled,76962_20160329_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
75,Routine - Unscheduled,68403_20180625_103138,Improper storage use or identification of toxic substances,Low Risk
68,Routine - Unscheduled,78019_20180530_103104,Unauthorized or unsafe use of time as a public health control measure,High Risk
88,Routine - Unscheduled,74826_20180418_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,94115_20180130_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
77,Routine - Unscheduled,79117_20180817_103136,Unsanitary employee garments hair or nails,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,3630_20180130_103156,Permit license or inspection report not posted,Low Risk
87,Routine - Unscheduled,76962_20160329_103143,Inadequate warewashing facilities or equipment,Low Risk
88,Routine - Unscheduled,59154_20180417_103144,Unapproved or unmaintained equipment or utensils,Low Risk
89,Routine - Unscheduled,66925_20171114_103107,Improper reheating of food,High Risk
91,Routine - Unscheduled,70148_20160913_103109,Unclean or unsanitary food contact surfaces,High Risk
90,Routine - Unscheduled,90585_20171002_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
75,Routine - Unscheduled,81033_20180416_103102,Unclean hands or improper use of gloves,High Risk
83,Routine - Unscheduled,19131_20171114_103141,Improper food labeling or menu misrepresentation,Low Risk
69,Routine - Unscheduled,19357_20180116_103133,Foods not protected from contamination,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
90,Routine - Unscheduled,2318_20180411_103132,Improper thawing methods,Moderate Risk
72,Routine - Unscheduled,2785_20180418_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,90029_20180416_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
92,Routine - Unscheduled,2336_20181025_103145,Improper storage of equipment utensils or linens,Low Risk
79,Routine - Unscheduled,82485_20180411_103133,Foods not protected from contamination,Moderate Risk
86,Routine - Unscheduled,90813_20180416_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
77,Routine - Unscheduled,86306_20160516_103154,Unclean or degraded floors walls or ceilings,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
78,Routine - Unscheduled,35862_20180125_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
83,Routine - Unscheduled,3285_20180622_103154,Unclean or degraded floors walls or ceilings,Low Risk
84,Routine - Unscheduled,88723_20180129_103161,Low risk vermin infestation,Low Risk
96,Routine - Unscheduled,87425_20180413_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,70949_20181023_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,66711_20180622_103154,Unclean or degraded floors walls or ceilings,Low Risk
94,Routine - Unscheduled,90029_20180416_103154,Unclean or degraded floors walls or ceilings,Low Risk
87,Routine - Unscheduled,9298_20181025_103145,Improper storage of equipment utensils or linens,Low Risk
90,Routine - Unscheduled,36673_20171113_103150,Improper or defective plumbing,Low Risk
88,Routine - Unscheduled,951_20160426_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,90878_20171109_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,7489_20171114_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
72,Routine - Unscheduled,89025_20161027_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
86,Routine - Unscheduled,11492_20180417_103131,Moderate risk vermin infestation,Moderate Risk
93,Routine - Unscheduled,88118_20180411_103114,High risk vermin infestation,High Risk
75,Routine - Unscheduled,81033_20180416_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,68629_20180126_103157,Food safety certificate or food handler card not available,Low Risk
88,Routine - Unscheduled,62560_20171116_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94,Routine - Unscheduled,85987_20180412_103154,Unclean or degraded floors walls or ceilings,Low Risk
78,Routine - Unscheduled,1843_20171114_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
93,Routine - Unscheduled,71997_20170926_103109,Unclean or unsanitary food contact surfaces,High Risk
78,Routine - Unscheduled,7643_20180416_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
74,Routine - Unscheduled,3006_20160628_103138,Improper storage use or identification of toxic substances,Low Risk
86,Routine - Unscheduled,68104_20180125_103114,High risk vermin infestation,High Risk
90,Routine - Unscheduled,19379_20171114_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
90,Routine - Unscheduled,78143_20171114_103160,Inadequate HACCP plan record keeping,Low Risk
84,Routine - Unscheduled,6734_20171108_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,5827_20181018_103129,Insufficient hot water or running water,Moderate Risk
79,Routine - Unscheduled,3165_20170323_103147,Inadequate ventilation or lighting,Low Risk
78,Routine - Unscheduled,35862_20180125_103109,Unclean or unsanitary food contact surfaces,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
89,Routine - Unscheduled,4987_20180614_103103,High risk food holding temperature,High Risk
88,Routine - Unscheduled,38580_20171113_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,5254_20180131_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
75,Routine - Unscheduled,69205_20171108_103145,Improper storage of equipment utensils or linens,Low Risk
87,Routine - Unscheduled,33442_20180131_103150,Improper or defective plumbing,Low Risk
90,Routine - Unscheduled,85927_20180622_103133,Foods not protected from contamination,Moderate Risk
96,Routine - Unscheduled,85944_20180131_103138,Improper storage use or identification of toxic substances,Low Risk
75,Routine - Unscheduled,4678_20171020_103154,Unclean or degraded floors walls or ceilings,Low Risk
71,Routine - Unscheduled,36744_20160121_103108,Contaminated or adulterated food,High Risk
74,Routine - Unscheduled,85824_20151208_103120,Moderate risk food holding temperature,Moderate Risk
85,Routine - Unscheduled,3623_20180416_103105,Improper cooling methods,High Risk
74,Routine - Unscheduled,2326_20180411_103157,Food safety certificate or food handler card not available,Low Risk
79,Routine - Unscheduled,1304_20180131_103114,High risk vermin infestation,High Risk
74,Routine - Unscheduled,3006_20160628_103102,Unclean hands or improper use of gloves,High Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
94,Routine - Unscheduled,69680_20171114_103144,Unapproved or unmaintained equipment or utensils,Low Risk
71,Routine - Unscheduled,36744_20160121_103109,Unclean or unsanitary food contact surfaces,High Risk
94,Routine - Unscheduled,2168_20180129_103144,Unapproved or unmaintained equipment or utensils,Low Risk
71,Routine - Unscheduled,85295_20170601_103132,Improper thawing methods,Moderate Risk
85,Routine - Unscheduled,33916_20171114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
76,Routine - Unscheduled,81886_20180418_103133,Foods not protected from contamination,Moderate Risk
71,Routine - Unscheduled,36744_20160121_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,3594_20180621_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
83,Routine - Unscheduled,3285_20180622_103109,Unclean or unsanitary food contact surfaces,High Risk
92,Routine - Unscheduled,1509_20180417_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,79299_20180412_103157,Food safety certificate or food handler card not available,Low Risk
92,Routine - Unscheduled,79433_20171106_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
74,Routine - Unscheduled,3522_20171109_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,82898_20180125_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,38379_20180625_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
64,Routine - Unscheduled,69486_20171107_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,78619_20171114_103132,Improper thawing methods,Moderate Risk
92,Routine - Unscheduled,33999_20171115_103144,Unapproved or unmaintained equipment or utensils,Low Risk
82,Routine - Unscheduled,76729_20160504_103148,No thermometers or uncalibrated thermometers,Low Risk
64,Routine - Unscheduled,69282_20180417_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
84,Routine - Unscheduled,68321_20171108_103154,Unclean or degraded floors walls or ceilings,Low Risk
88,Routine - Unscheduled,38379_20180625_103142,Unclean nonfood contact surfaces,Low Risk
83,Routine - Unscheduled,61460_20180125_103114,High risk vermin infestation,High Risk
94,Routine - Unscheduled,82097_20181022_103157,Food safety certificate or food handler card not available,Low Risk
94,Routine - Unscheduled,2168_20180129_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,36205_20180126_103139,Improper food storage,Low Risk
88,Routine - Unscheduled,4859_20180416_103129,Insufficient hot water or running water,Moderate Risk
82,Routine - Unscheduled,3280_20180129_103154,Unclean or degraded floors walls or ceilings,Low Risk
87,Routine - Unscheduled,68278_20180131_103132,Improper thawing methods,Moderate Risk
85,Routine - Unscheduled,3623_20180416_103139,Improper food storage,Low Risk
98,Routine - Unscheduled,27874_20181022_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
74,Routine - Unscheduled,85824_20151208_103154,Unclean or degraded floors walls or ceilings,Low Risk
92,Routine - Unscheduled,68045_20181025_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,70258_20171114_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,86231_20181024_103157,Food safety certificate or food handler card not available,Low Risk
82,Routine - Unscheduled,38070_20181026_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,2318_20180411_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
87,Routine - Unscheduled,69121_20180626_103103,High risk food holding temperature,High Risk
84,Routine - Unscheduled,6734_20171108_103142,Unclean nonfood contact surfaces,Low Risk
83,Routine - Unscheduled,61460_20180125_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,90581_20180416_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
80,Routine - Unscheduled,91954_20180816_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88,Routine - Unscheduled,75526_20171108_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,27799_20180130_103161,Low risk vermin infestation,Low Risk
85,Routine - Unscheduled,34726_20180130_103127,Noncompliance with HAACP plan or variance,Moderate Risk
90,Routine - Unscheduled,66711_20180622_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
90,Routine - Unscheduled,5025_20180405_103129,Insufficient hot water or running water,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
98,Routine - Unscheduled,66202_20181023_103147,Inadequate ventilation or lighting,Low Risk
86,Routine - Unscheduled,5215_20180625_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
60,Routine - Unscheduled,89141_20180626_103142,Unclean nonfood contact surfaces,Low Risk
83,Routine - Unscheduled,19131_20171114_103102,Unclean hands or improper use of gloves,High Risk
64,Routine - Unscheduled,69282_20180417_103154,Unclean or degraded floors walls or ceilings,Low Risk
86,Routine - Unscheduled,69759_20180820_103154,Unclean or degraded floors walls or ceilings,Low Risk
87,Routine - Unscheduled,62330_20180131_103150,Improper or defective plumbing,Low Risk
60,Routine - Unscheduled,89141_20180626_103105,Improper cooling methods,High Risk
90,Routine - Unscheduled,1487_20180125_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
86,Routine - Unscheduled,90813_20180416_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
91,Routine - Unscheduled,87123_20180416_103103,High risk food holding temperature,High Risk
86,Routine - Unscheduled,5215_20180625_103131,Moderate risk vermin infestation,Moderate Risk
84,Routine - Unscheduled,90238_20170131_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
84,Routine - Unscheduled,90238_20170131_103141,Improper food labeling or menu misrepresentation,Low Risk
86,Routine - Unscheduled,77442_20180418_103131,Moderate risk vermin infestation,Moderate Risk
71,Routine - Unscheduled,73889_20180418_103131,Moderate risk vermin infestation,Moderate Risk
96,Routine - Unscheduled,4535_20180130_103144,Unapproved or unmaintained equipment or utensils,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
80,Routine - Unscheduled,83773_20180413_103131,Moderate risk vermin infestation,Moderate Risk
83,Routine - Unscheduled,6660_20181023_103109,Unclean or unsanitary food contact surfaces,High Risk
78,Routine - Unscheduled,7643_20180416_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,7489_20171114_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
92,Routine - Unscheduled,854_20180816_103139,Improper food storage,Low Risk
